Baseline,Random Search,Bayesian,Optuna
lag_1,Survey_Building_LivingArea,Survey_Building_LivingArea,Survey_Building_LivingArea
Survey_Building_LivingArea,lag_1,lag_1,lag_1
lag_96,rolling_mean_1h,rolling_mean_1h,rolling_mean_1h
rolling_mean_1h,rolling_std_1h,rolling_std_1h,rolling_std_1h
lag_672,lag_4,lag_4,lag_4
rolling_mean_24h,rolling_std_24h,rolling_std_24h,rolling_std_24h
rolling_std_1h,rolling_mean_24h,lag_96,rolling_mean_24h
rolling_std_24h,lag_96,rolling_mean_24h,lag_96
lag_4,Temperature_avg_hourly,lag_672,Temperature_avg_hourly
Temperature_avg_hourly,lag_672,Temperature_avg_hourly,lag_672
hour_cos,hour,hour,hour
Survey_Installation_HasElectricVehicle,Survey_Building_Residents,Survey_Building_Residents,Survey_Building_Residents
Survey_Building_Residents,hour_cos,hour_cos,hour_cos
Survey_DHW_Production_ByElectricWaterHeater,hour_sin,hour_sin,hour_sin
hour_sin,Humidity_avg_hourly,Humidity_avg_hourly,Humidity_avg_hourly
Survey_HeatPump_Installation_Type_ground-source,WindSpeed_hourly,WindSpeed_hourly,WindSpeed_hourly
hour,day,Survey_HeatPump_Installation_Type_ground-source,Survey_HeatPump_Installation_Type_ground-source
Installation_HasPVSystem,month,day,Survey_Installation_HasElectricVehicle
Survey_HeatDistribution_System_Radiator,Survey_HeatPump_Installation_Type_ground-source,Survey_Installation_HasElectricVehicle,day
Survey_DHW_Production_ByHeatPump,dayofweek,month,Installation_HasPVSystem
